child,parent
40100187,40100186
40100188,40100187
40100189,40100187
40100190,40100187
40100191,40100187
40100192,40100187
40100193,40100187
40100194,40100187
40100195,40100187
40100196,40100186
40100197,40100196
40100198,40100196
40100199,40100196
40100200,40100186
40100201,40100200
40100202,40100200
40100203,40100200
40100204,40100200
40100205,40100200
40100207,40100206
40100208,40100206
40100209,40100208
40100210,40100208
40100211,40100208
40100212,40100211
40100213,40100211
40100214,40100208
40100215,40100208
40100216,40100208
40100218,40100217
40100219,40100217
40100220,40100217
40100221,40100217
40100222,40100217
40100223,40100217
