,SegmentR,PEPR,AgeR,TimeRelationR,IncomeSourceR,ActivityR,NationalityR,CommonAddR,ProductTR,SubproductR,OperationTR,MonetaryInstR,DivisaR,ChannelR,OperabilitySR,OGoverR,SARR,VMR,VOR,SumSeR,SumReR,RSR,AAR,SendingNumR,ReceivingNumR,StateOpeR,StateResR,MunOpeR,MunResR,CountryR
0,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,100,85,65,65,70,80,80,90,80,100,90,100
1,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100
2,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100
3,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,80,65,85,85,90,80,80,90,80,100,90,100
4,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,100,100,65,65,85,70,80,80,90,80,100,90,100
5,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,100,80,85,65,85,70,80,80,90,80,100,90,100
6,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,85,65,90,80,80,90,80,100,90,100
7,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,65,85,70,80,80,90,80,100,90,100
8,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,100,85,65,65,90,80,80,90,80,100,90,100
9,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,65,65,85,70,80,80,90,80,100,90,100
10,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,65,85,65,70,80,80,90,80,100,90,100
11,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,100,85,85,85,70,80,80,90,80,100,90,100
12,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100
13,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,100,80,85,65,85,90,80,80,90,80,100,90,100
14,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,65,85,65,70,80,80,90,80,100,90,100
15,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,80,65,65,85,90,80,80,90,80,100,90,100
16,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,100,65,65,85,70,80,80,90,80,100,90,100
17,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,65,85,65,90,80,80,90,80,100,90,100
18,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,80,100,85,85,65,90,80,80,90,80,100,90,100
19,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,100,65,65,65,90,80,80,90,80,100,90,100
20,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,65,85,90,80,80,90,80,100,90,100
21,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,85,65,70,80,80,90,80,100,90,100
22,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100
23,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,80,85,65,85,90,80,80,90,80,100,90,100
24,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100
25,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,65,85,65,90,80,80,90,80,100,90,100
26,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,65,65,90,80,80,90,80,100,90,100
27,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,100,65,65,65,90,80,80,90,80,100,90,100
28,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,65,85,90,80,80,90,80,100,90,100
29,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,85,65,70,80,80,90,80,100,90,100
30,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,65,85,90,80,80,90,80,100,90,100
31,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,65,65,65,70,80,80,90,80,100,90,100
32,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,100,65,85,85,70,80,80,90,80,100,90,100
33,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,85,85,65,90,80,80,90,80,100,90,100
34,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,65,65,70,80,80,90,80,100,90,100
35,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,65,65,70,80,80,90,80,100,90,100
36,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,80,65,65,85,90,80,80,90,80,100,90,100
37,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,100,80,65,85,65,90,80,80,90,80,100,90,100
38,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,85,65,70,80,80,90,80,100,90,100
39,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,85,65,85,70,80,80,90,80,100,90,100
40,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100
41,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100
42,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100
