Retire Before 65 Years Old,Gender,Desease,Education Level,Marital Status,Monthly Income,Employee/Employer,Dependants,Unemployment Rate,Stock Market,Credit Score,Government Bonds Return,Probabilidades de Retiro Temprano,Predicción Modelo,Probabilidad Modelo,ID_Cliente
0,1,0,3,0,32000,0,1,5.02379729,42063.16667,639,5.414833333,,0,0.10668186388300976,0
0,1,1,4,0,20000,0,2,5.35522049,30100.5,610,7.96275,,0,0.26176609060532363,1
0,0,1,4,1,35000,1,1,3.84357001,24066.16667,649,7.715833333,,0,0.09254300987600504,2
0,0,1,3,0,27000,0,1,4.94922646,19439.0,638,8.024166667,,0,0.08654617014466597,3
0,1,1,5,1,16000,0,2,5.77682986,27335.5,758,8.079916667,,0,0.2739538859899616,4
0,0,0,3,0,26000,1,2,5.1950095,31577.33333,798,7.701083333,,0,0.23543564709414033,5
0,1,0,4,1,16000,0,1,4.29406689,44425.83333,624,5.8425,,0,0.16570616659589352,6
0,0,0,5,1,26000,1,3,4.34354688,27256.0,675,7.8225,,1,0.6852610156143453,7
0,1,1,3,0,17000,1,1,5.24425019,36600.0,715,7.11,,0,0.15564035970007364,8
0,0,0,1,1,20000,0,2,4.72142055,22755.0,712,7.940833333,,0,0.3199065342459693,9
0,0,0,3,1,27800,0,1,4.53300508,44425.83333,635,5.8425,,0,0.09636382875087146,10
0,1,1,3,1,27000,1,1,5.34449117,22755.0,770,7.940833333,,0,0.1331592912970699,11
0,0,0,3,1,34000,1,2,4.82778981,41229.83333,777,5.91,,0,0.2093828781331777,12
0,0,1,4,1,24000,0,2,4.87568406,44426.0,761,5.095083333,,0,0.13711904795600222,13
0,1,0,3,0,26000,1,1,5.32080167,37332.5,706,7.508333333,,0,0.15409405917138175,14
0,1,1,5,1,38000,1,3,5.59830462,36109.5,630,6.61,,1,0.5995181598399224,15
0,0,0,3,0,24000,0,3,6.74115103,27335.5,677,8.079916667,,0,0.483986493684277,16
0,0,0,5,1,22000,0,1,5.30387327,40216.83333,672,5.3995,,0,0.09284273518842397,17
0,0,1,5,1,15000,0,2,4.31879538,13227.5,760,10.07416667,,0,0.18517684733766973,18
0,0,1,5,0,31000,0,2,5.25041296,44437.16667,619,5.881666667,,0,0.10665607427515039,19
0,0,1,5,1,20000,0,2,3.46916133,19520.66667,750,8.896666667,,0,0.1672636763615853,20
0,0,1,4,1,17000,0,1,4.70796553,36093.16667,643,6.358333333,,0,0.09522515402029348,21
0,0,1,4,1,19000,0,2,4.83260494,41912.16667,647,5.567416667,,0,0.1696084893362219,22
0,1,0,4,0,24000,0,2,4.98532915,40216.83333,643,5.3995,,0,0.29911346055583826,23
0,1,1,5,0,26000,1,1,4.26439053,21536.0,729,8.66,,0,0.11739392547833809,24
0,0,1,3,1,19000,0,2,4.94922646,19439.0,740,8.024166667,,0,0.18646839712355148,25
0,1,0,4,1,22000,0,2,5.02379729,42063.16667,607,5.414833333,,0,0.38618413583954864,26
0,1,1,3,1,18000,0,2,3.76339417,29309.33333,633,7.521666667,,0,0.4257916686769613,27
0,1,0,4,0,21000,0,2,4.92918489,41229.83333,603,5.91,,0,0.3481320379236012,28
0,0,0,4,0,40000,1,1,5.11135844,32304.66667,752,7.193916667,,0,0.08706512128133809,29
0,1,0,4,1,20000,0,1,5.02379729,42063.16667,754,5.414833333,,0,0.1318474039562766,30
0,1,0,4,0,17000,0,1,4.75727494,40418.0,795,6.365083333,,0,0.12849422015676687,31
0,1,1,4,1,31000,0,1,3.96172167,26982.33333,784,8.568333333,,0,0.09949660206908736,32
0,1,1,3,1,17000,0,1,3.71008358,27256.0,745,7.8225,,0,0.1413421271140953,33
0,0,0,4,0,39000,1,2,4.3,44555.83333,623,5.981666667,,0,0.16084596604682747,34
0,1,1,5,1,16000,1,2,3.76339417,29309.33333,737,7.521666667,,1,0.5092040677308489,35
0,0,0,3,1,27000,1,1,4.34354688,27256.0,754,7.8225,,0,0.11702991960949287,36
0,1,1,5,1,23000,0,2,3.22742853,30804.0,784,8.431666667,,0,0.2652513591320321,37
0,1,1,4,0,19000,0,2,3.58429637,13227.5,647,10.07416667,,0,0.334005377601643,38
0,1,0,4,1,24000,0,2,3.71008358,27256.0,717,7.8225,,0,0.39721184722716835,39
0,0,0,4,0,25000,0,1,5.39200968,40243.16667,795,6.096666667,,0,0.08739256730034624,40
0,0,0,3,1,37000,1,1,3.59050539,12789.0,742,9.910833333,,0,0.10487555413588205,41
0,1,1,3,1,37000,1,1,4.94709939,36093.16667,767,6.358333333,,0,0.10868073325453186,42
0,0,1,4,0,16000,1,2,5.30387327,40216.83333,723,5.3995,,0,0.2211641962346918,43
0,1,0,4,1,20000,0,1,4.2,43587.5,772,6.165,,0,0.13823545338119755,44
0,1,1,4,1,30000,0,1,5.14091293,40243.16667,737,6.096666667,,0,0.09624168013653699,45
0,0,0,4,1,35000,1,2,5.39200968,40243.16667,694,6.096666667,,0,0.18363727790563195,46
0,1,0,5,0,31000,0,1,4.3,44555.83333,629,5.981666667,,0,0.10154659958262932,47
0,1,0,5,0,34000,1,1,5.4584248,32076.33333,728,6.318333333,,0,0.10945597154191412,48
0,1,1,3,1,27000,1,1,4.92918489,41229.83333,752,5.91,,0,0.13262927346892495,49
