AGENT.ID,TotalIn,TotalOut,Movements,NetBalance
1,0,230657983,13,-230657983
2,2064711094,947219471,147,1117491623
3,0,2458069,1,-2458069
4,0,265623061,11,-265623061
5,0,61070458,24,-61070458
6,0,1618268,1,-1618268
7,0,58275726,20,-58275726
8,0,9101302087,32,-9101302087
9,0,5420674937,37,-5420674937
10,0,78531490,24,-78531490
11,0,75933861,22,-75933861
12,0,79838132,15,-79838132
13,0,2102653183,26,-2102653183
14,0,4077532350,31,-4077532350
15,2501708390,5005101442,187,-2503393052
16,0,67595751,13,-67595751
17,0,28498984,16,-28498984
18,0,4484670,4,-4484670
19,0,569054595,172,-569054595
20,0,617763,1,-617763
21,0,1917212165,33,-1917212165
22,0,982011663,14,-982011663
23,0,219866905,6,-219866905
24,0,27487348,9,-27487348
25,0,40341272,8,-40341272
26,0,19076927,13,-19076927
27,160913,29366562,3,-29205649
28,0,139432519,23,-139432519
29,423988514,25525751,58,398462763
30,540843353,19158135,25,521685218
31,0,4414456,1,-4414456
32,0,136765092,33,-136765092
33,0,99942391,5,-99942391
34,0,19290,1,-19290
35,0,58859086,9,-58859086
36,0,3572412,3,-3572412
37,0,167733229,7,-167733229
38,370031,112744265,71,-112374234
39,13281522,241720047,54,-228438525
40,0,385347367,53,-385347367
41,0,233382,1,-233382
42,0,35836574,3,-35836574
43,0,4217534963,41,-4217534963
44,0,52016362,12,-52016362
45,0,23822739,4,-23822739
46,0,17610666,5,-17610666
47,0,135005690,9,-135005690
48,0,4476301195,36,-4476301195
49,79154289,24631829,6,54522460
50,0,699227,1,-699227
51,0,9994819,1,-9994819
52,0,2511012174,2,-2511012174
53,0,874525499,39,-874525499
54,2301803302,7331028290,204,-5029224988
55,12578076,0,1,12578076
56,0,370463729,126,-370463729
57,0,2640784,2,-2640784
58,64116233,36000689,7,28115544
59,0,6673455,3,-6673455
60,0,4123103,1,-4123103
61,0,67737437,8,-67737437
62,0,13517682,3,-13517682
63,0,1169399,1,-1169399
64,0,7810392,3,-7810392
65,0,110345037,24,-110345037
66,0,14461625,5,-14461625
67,0,30938733,6,-30938733
68,0,124750905,37,-124750905
69,0,207376609,36,-207376609
70,0,21148836,1,-21148836
71,0,2234588774,62,-2234588774
72,0,77542688,9,-77542688
73,0,1739287231,54,-1739287231
74,412891506,7321042767,86,-6908151261
75,0,7312327,5,-7312327
76,0,1735048,1,-1735048
77,0,49196686,3,-49196686
78,0,102237673,28,-102237673
79,0,28130709,15,-28130709
80,0,43676794,16,-43676794
81,0,3780913,2,-3780913
82,0,6819147,1,-6819147
83,0,3857489,1,-3857489
84,0,27698253,13,-27698253
85,0,42608080,2,-42608080
86,0,55836032,8,-55836032
87,0,12025515705,319,-12025515705
88,0,22089801,5,-22089801
89,0,18973233,6,-18973233
90,0,5346561,1,-5346561
91,0,21599097,1,-21599097
92,0,9636615,3,-9636615
93,0,5306518,2,-5306518
94,0,14185544,3,-14185544
95,143373297,22200759,21,121172538
96,0,164268717,38,-164268717
97,0,6918895,1,-6918895
98,0,1750051284,39,-1750051284
99,0,260302828,18,-260302828
100,2068064946,1322227045,186,745837901
101,0,140939824,13,-140939824
102,0,30767621,7,-30767621
103,0,2730461,1,-2730461
