Competidor,Producto,Experimento,MAE,RMSE,Confianza (%),Variación Esperada (%),Riesgo
Competidor1,Product1,Prophet Base,243021.848341992,283711.8188323255,86.97891868404035,8.65513991774991,1
Competidor1,Product2,Prophet Base,482345.7811895896,626492.3010817067,95.24543563478778,0.33124626356426656,1
Competidor10,Product1,Prophet Base,1205430.6250125575,1441387.3398994296,97.03055516595022,2.305731166221947,1
Competidor2,Product1,Prophet Base,922901.4177827314,1110853.948076147,97.39706621357091,1.1165434783644512,1
Competidor3,Product1,Prophet Base,551507.9231753162,684111.9294831671,77.0841054910548,2.7282425859095127,1
Competidor3,Product2,Prophet Base,319278.28143946116,437471.19499413593,93.5366177572505,-0.9410781803892654,1
Competidor4,Product1,Prophet Base,1211852.4857499322,1399967.5387026875,96.07562616029797,-1.442091977649529,1
Competidor5,Product1,Prophet Base,738982.7075472614,887010.1063703212,76.99791667828984,-1.6789099697750887,1
Competidor5,Product2,Prophet Base,656175.796652187,880033.4642112209,93.51632447165854,-1.4382305784803817,1
Competidor6,Product1,Prophet Base,1685936.718137906,2029744.1156321333,96.19893740514857,-0.8686779171075187,1
Competidor7,Product1,Prophet Base,230342.61979813833,265997.3066032381,78.2907954672614,12.571167722362532,1
Competidor7,Product2,Prophet Base,137670.13688255486,177220.2537926516,93.12361270094549,-4.459356146694093,1
Competidor8,Product1,Prophet Base,462842.4858320699,554558.3727345705,96.32654206962862,-1.712081853486358,1
Competidor9,Product1,Prophet Base,631750.7714731785,730472.4085907367,77.1105224462003,32.27108066752049,1
Competidor9,Product2,Prophet Base,592236.4720820095,786693.6402831003,95.21671400655593,0.46394431273046877,1
