Competidor,Producto,Fecha,Valor,Tipo,Experimento
Competidor1,Product1,2019-01-06,2408555.0,Real,Prophet Base
Competidor1,Product1,2019-01-13,2215418.0,Real,Prophet Base
Competidor1,Product1,2019-01-20,2167294.0,Real,Prophet Base
Competidor1,Product1,2019-01-27,2173777.0,Real,Prophet Base
Competidor1,Product1,2019-02-03,2312097.0,Real,Prophet Base
Competidor1,Product1,2019-02-10,2683980.0,Real,Prophet Base
Competidor1,Product1,2019-02-17,2104138.0,Real,Prophet Base
Competidor1,Product1,2019-02-24,2167522.0,Real,Prophet Base
Competidor1,Product1,2019-03-03,2166030.0,Real,Prophet Base
Competidor1,Product1,2019-03-10,2322196.0,Real,Prophet Base
Competidor1,Product1,2019-03-17,2305257.0,Real,Prophet Base
Competidor1,Product1,2019-03-24,2756588.0,Real,Prophet Base
Competidor1,Product1,2019-03-31,2106089.0,Real,Prophet Base
Competidor1,Product1,2019-04-07,2237618.0,Real,Prophet Base
Competidor1,Product1,2019-04-14,2348591.0,Real,Prophet Base
Competidor1,Product1,2019-04-21,2417455.0,Real,Prophet Base
Competidor1,Product1,2019-04-28,2577416.0,Real,Prophet Base
Competidor1,Product1,2019-05-05,2297571.0,Real,Prophet Base
Competidor1,Product1,2019-05-12,2448635.0,Real,Prophet Base
Competidor1,Product1,2019-05-19,2444579.0,Real,Prophet Base
Competidor1,Product1,2019-05-26,2788125.0,Real,Prophet Base
Competidor1,Product1,2019-06-02,2497743.0,Real,Prophet Base
Competidor1,Product1,2019-06-09,2933595.0,Real,Prophet Base
Competidor1,Product1,2019-06-16,2744821.0,Real,Prophet Base
Competidor1,Product1,2019-06-23,2874392.0,Real,Prophet Base
Competidor1,Product1,2019-06-30,2802894.0,Real,Prophet Base
Competidor1,Product1,2019-07-07,2617790.0,Real,Prophet Base
Competidor1,Product1,2019-07-14,2219878.0,Real,Prophet Base
Competidor1,Product1,2019-07-21,2231670.0,Real,Prophet Base
Competidor1,Product1,2019-07-28,2528017.0,Real,Prophet Base
Competidor1,Product1,2019-08-04,2195176.0,Real,Prophet Base
Competidor1,Product1,2019-08-11,2378160.0,Real,Prophet Base
Competidor1,Product1,2019-08-18,2373156.0,Real,Prophet Base
Competidor1,Product1,2019-08-25,2711972.0,Real,Prophet Base
Competidor1,Product1,2019-09-01,2205116.0,Real,Prophet Base
Competidor1,Product1,2019-09-08,2281552.0,Real,Prophet Base
Competidor1,Product1,2019-09-15,2335506.0,Real,Prophet Base
Competidor1,Product1,2019-09-22,2849308.0,Real,Prophet Base
Competidor1,Product1,2019-09-29,2057032.0,Real,Prophet Base
Competidor1,Product1,2019-10-06,2129059.0,Real,Prophet Base
Competidor1,Product1,2019-10-13,2201593.0,Real,Prophet Base
Competidor1,Product1,2019-10-20,2267255.0,Real,Prophet Base
Competidor1,Product1,2019-10-27,2429210.0,Real,Prophet Base
Competidor1,Product1,2019-11-03,2045455.0,Real,Prophet Base
Competidor1,Product1,2019-11-10,2097655.0,Real,Prophet Base
Competidor1,Product1,2019-11-17,2147922.0,Real,Prophet Base
Competidor1,Product1,2019-11-24,2458697.0,Real,Prophet Base
Competidor1,Product1,2019-12-01,1968737.0,Real,Prophet Base
Competidor1,Product1,2019-12-08,2085037.0,Real,Prophet Base
Competidor1,Product1,2019-12-15,2071919.0,Real,Prophet Base
Competidor1,Product1,2019-12-22,2555088.0,Real,Prophet Base
Competidor1,Product1,2019-12-29,1967066.0,Real,Prophet Base
Competidor1,Product1,2020-01-05,2209195.0,Real,Prophet Base
Competidor1,Product1,2020-01-12,1857720.0,Real,Prophet Base
Competidor1,Product1,2020-01-19,1917617.0,Real,Prophet Base
Competidor1,Product1,2020-01-26,2203282.0,Real,Prophet Base
Competidor1,Product1,2020-02-02,1825344.0,Real,Prophet Base
Competidor1,Product1,2020-02-09,1943601.0,Real,Prophet Base
Competidor1,Product1,2020-02-16,2040300.0,Real,Prophet Base
Competidor1,Product1,2020-02-23,2448399.0,Real,Prophet Base
Competidor1,Product1,2020-03-01,1847309.0,Real,Prophet Base
Competidor1,Product1,2020-03-08,1970381.0,Real,Prophet Base
Competidor1,Product1,2020-03-15,2100370.0,Real,Prophet Base
Competidor1,Product1,2020-03-22,2923950.0,Real,Prophet Base
Competidor1,Product1,2020-03-29,1942729.0,Real,Prophet Base
Competidor1,Product1,2020-04-05,1792980.0,Real,Prophet Base
Competidor1,Product1,2020-04-12,2006793.0,Real,Prophet Base
Competidor1,Product1,2020-04-19,2040103.0,Real,Prophet Base
Competidor1,Product1,2020-04-26,2404684.0,Real,Prophet Base
Competidor1,Product1,2020-05-03,2163629.0,Real,Prophet Base
Competidor1,Product1,2020-05-10,2223112.0,Real,Prophet Base
Competidor1,Product1,2020-05-17,2219193.0,Real,Prophet Base
Competidor1,Product1,2020-05-24,2613465.0,Real,Prophet Base
Competidor1,Product1,2020-05-31,2613465.0,Real,Prophet Base
Competidor1,Product1,2020-06-07,2282345.0,Real,Prophet Base
Competidor1,Product1,2020-06-14,2801913.0,Real,Prophet Base
Competidor1,Product1,2020-06-21,2269025.0,Real,Prophet Base
Competidor1,Product1,2020-06-28,2190131.0,Real,Prophet Base
Competidor1,Product1,2020-07-05,2274159.0,Real,Prophet Base
Competidor1,Product1,2020-07-12,2577985.0,Real,Prophet Base
Competidor1,Product1,2020-07-19,2090887.0,Real,Prophet Base
Competidor1,Product1,2020-07-26,2127582.0,Real,Prophet Base
Competidor1,Product1,2020-08-02,2255676.0,Real,Prophet Base
Competidor1,Product1,2020-08-09,2289936.0,Real,Prophet Base
Competidor1,Product1,2020-08-16,2326463.0,Real,Prophet Base
Competidor1,Product1,2020-08-23,2634595.0,Real,Prophet Base
Competidor1,Product1,2020-08-30,2634595.0,Real,Prophet Base
Competidor1,Product1,2020-09-06,2095796.0,Real,Prophet Base
Competidor1,Product1,2020-09-13,2289671.0,Real,Prophet Base
Competidor1,Product1,2020-09-20,2540523.0,Real,Prophet Base
Competidor1,Product1,2020-09-27,2054276.0,Real,Prophet Base
Competidor1,Product1,2020-10-04,1990379.0,Real,Prophet Base
